"region.name.achinese","region.name.afrikaans","region.name.albanian","region.name.arabic","region.name.aragonese","region.name.armenian","region.name.avaric","region.name.azerbaijani","region.name.bashkir","region.name.basque","region.name.belarusian","region.name.bosnian","region.name.bulgarian","region.name.catalan","region.name.chechen","region.name.chinese","region.name.chuvash","region.name.croatian","region.name.czech","region.name.danish","region.name.dutch","region.name.eastern.mari","region.name.erzya","region.name.esperanto","region.name.estonian","region.name.finnish","region.name.french","region.name.gagauz","region.name.galician","region.name.georgian","region.name.german","region.name.gothic","region.name.greek","region.name.hakka","region.name.hebrew","region.name.hindi","region.name.hungarian","region.name.icelandic","region.name.indonesian","region.name.irish","region.name.italian","region.name.japanese","region.name.kabardian","region.name.kalmyk","region.name.karachay-balkar","region.name.kazakh","region.name.komi","region.name.korean","region.name.latin","region.name.latvian","region.name.lithuanian","region.name.low.german","region.name.luxembourgish","region.name.macedonian","region.name.malay","region.name.marathi","region.name.mongolian","region.name.northern.sami","region.name.norwegian.bokmål","region.name.norwegian.nynorsk","region.name.ossetic","region.name.pampanga","region.name.persian","region.name.polish","region.name.portuguese","region.name.romanian","region.name.russian","region.name.sakha","region.name.scots","region.name.serbian","region.name.serbo-croatian","region.name.slovak","region.name.slovenian","region.name.spanish","region.name.sundanese","region.name.swedish","region.name.tagalog","region.name.tamil","region.name.tatar","region.name.thai","region.name.turkish","region.name.udmurt","region.name.ukrainian","region.name.urdu","region.name.uyghur","region.name.uzbek","region.name.veps","region.name.vietnamese","region.name.waray","region.name.welsh","region.name.western.punjabi","region.name.беларуская.тарашкевіца‎","region.name.буряад","region.name.молдовеняскэ","region.name.english"
"Republik Kalmykia","Kalmikië",NA,"قلميقيا","Calmuquia","Կալմիկիա","Гъалмугъ","Kalmıkiya",NA,"Kalmukia","Калмыкія","Kalmikija","Калмикия","Calmúquia","ГӀалмакхойчоь","卡尔梅克共和国","Калмăк Республики","Kalmička","Kalmycko","Republikken Kalmykija","Kalmukkië","Калмыкий","Калмыкия Республикась","Kalmukio","Kalmõkkia","Kalmukia","Kalmoukie","Kalmıkiya","Kalmykia","ყალმუხეთი","Kalmückien",NA,"Δημοκρατία της Καλμίκια","Kalmykia Khiung-fò-koet","קלמיקיה","कालमिकिया","Kalmükföld",NA,"Kalmykia","An Chailmíc","Calmucchia","カルムイク共和国","Къалмыкъ республикэ","Хальмг Таңһч",NA,"Қалмақстан","Калмыкия","칼미크 공화국","Calmuccia","Kalmikija","Kalmukija",NA,NA,"Калмикија","Kalmykia","काल्मिकिया","Бүгд Найрамдах Халимаг Улс","Kalmukia","Kalmykia","Kalmykia","Хъалмыхъхъ",NA,"قالموقستان","Kałmucja","Calmúquia","Calmîchia","Калмыкия","Калмыкия","Kalmykie","Калмикија","Kalmikija","Kalmycko","Kalmikija","Kalmukia","Kalmykia","Kalmuckien","Kalmykia",NA,"Калмыкия","สาธารณรัฐคัลมืยคียา","Kalmukya","Калмыкия","Калмикія","کلمیکیا","قالماقىستان","Qalmogʻiston","Kalmikijan Tazovaldkund","Kalmykia","Kalmykia","Gweriniaeth Kalmykia","کلمیکیا","Калмыкія","Бүгэдэ Найрамдаха Хальмаг Улас","Калмыкия","Kalmykia"
"Republik Karachay-Cherkess","Karatsjai-Tsjerkessië",NA,"قراتشاي - تشيركيسيا",NA,"Կարաչայ-Չերքեզիա",NA,"Qaraçay-Çərkəz respublikası",NA,"Karatxai-Txerkesia","Карачаева-Чаркесія","Karačajevo-Čerkezija","Карачаево-Черкезия","Karatxai-Txerkèssia","Кхарачой-Чергазийчоь","卡拉恰伊-切尔克斯共和国",NA,"Karačajevsko-Čerkeska","Karačajevsko-Čerkesko","Republikken Karatjajevo-Tjerkessien","Karatsjaj-Tsjerkessië","Карачай-Черкесий","Карачаевань-Черкесия Республикась","Karaĉajio-Ĉerkesio","Karatšai-Tšerkessia","Karatšai-Tšerkessia","Karatchaïévo-Tcherkessie","Karaçaevo-Çerkesiya","Karachay-Cherkessia","ყარაჩაი-ჩერქეზეთი","Karatschai-Tscherkessien",NA,"Δημοκρατία των Καρατσάι - Τσερκεσίων","Karachay-Cherkessia Khiung-fò-koet","קאראצאי-צרקסיה","काराचाए-चरकस्सिया","Karacsáj- és Cserkeszföld",NA,"Karachay-Cherkessia","An Charaitsé-Shiorcáis","Karačaj-Circassia","カラチャイ・チェルケス共和国","Къэрэшей-Шэрджэс","Кәрәчәс Шеркс таңһч","Къарачай-Черкесия","Қарашай-Черкесия","Карачай-Черкесия","카라차예보체르케스카야 공화국",NA,"Karačaja-Čerkesija","Karačiajų Čerkesija",NA,NA,"Карачаево-Черкесија","Karachay-Cherkessia","काराचाय-चेर्केशिया","Карачай-Черкесс","Karatšai-Tšerkessia","Karatsjajevo-Tsjerkessia","Karatsjajevo-Tsjerkessia","Хъæрæсе-Черкес",NA,"قره‌چای و چرکس","Karaczajo-Czerkiesja","Carachai-Circássia","Karaciai-Cerchezia","Карачаево-Черкесия","Карачай-Черкесия","Karachay-Cherkessie","Карачајево-Черкезија","Karačajevsko-Čerkeska","Karačajsko-Čerkesko","Karačaj-Čerkezija","Karacháyevo-Cherkesia","Karachay-Chérkéssia","Karatjajen-Tjerkessien","Karachay-Cherkessia",NA,"Карачай-Чиркәсия",NA,"Karaçay-Çerkesya","Карачаево-Черкесия","Карачаєво-Черкесія","کراچائے-چرکیسیا","قاراچاي-چېركېسىيە","Qorachoy-Cherkasiya","Karačajan da Čerkesijan Tazovaldkund","Karachay-Cherkessia","Karachay-Cherkessia",NA,"کراچاۓ چرکیسیا","Карачаева-Чаркесія",NA,NA,"Karachay-Cherkessia"
"Republik Karelia","Republiek van Karelië","Karelia","جمهورية كاريليا","Carelia","Կարելիայի Հանրապետություն",NA,"Kareliya Respublikası","Карелия","Kareliako Errepublika","Карэлія","Karelija","Република Карелия","República de Carèlia","Карели","卡累利阿共和国","Карел Республики","Karelija","Karelská republika","Republikken Karelija","Karelië (deelrepubliek)","Карелий","Карелэнь Республикась","Karelio (respubliko)","Karjala Vabariik","Karjalan tasavalta","République de Carélie","Kareliya","República de Carelia","კარელიის რესპუბლიკა","Republik Karelien",NA,"Δημοκρατία της Καρελίας","Karelia Khiung-fò-koet","קרליה (רפובליקה)","कारेलिया गणतंत्र","Karélia",NA,"Republik Karelia","Poblacht na Cairéile","Repubblica di Carelia","カレリア共和国","Карел республикэ","Карелуд таңһч",NA,"Карелия Республикасы","Карелия","카렐리야 공화국","Carelia (res publica)","Karēlijas Republika","Karelijos Respublika",NA,NA,"Република Карелија","Republik Karelia","कॅरेलिया प्रजासत्ताक","Бүгд Найрамдах Карель Улс","Gárjila dásseváldi","Karelia","Karelia","Республикæ Карели",NA,"جمهوری کارلیا","Karelia","República da Carélia","Republica Carelia","Республика Карелия","Карелия Республиката","Republic o Karelie","Карелија","Republika Karelija","Karelsko","Republika Karelija","República de Carelia","Républik Karélia","Karelska republiken","Republika ng Karelia","கரேலியா","Kareliä","สาธารณรัฐคาเรลียา","Karelya Cumhuriyeti","Карелия","Республіка Карелія","جمہوریہ کریلیا","كارېلىيە","Kareliya","Karjalan Tazovaldkund","Cộng hòa Kareliya","Republika han Karelia",NA,"کریلیا","Рэспубліка Карэлія","Бүгэдэ Найрамдаха Карели Улас",NA,"Republic_of_Karelia"
"Republik Khakassia","Chakassië",NA,"خقاسيا",NA,"Խակասիա",NA,"Xakasiya",NA,"Khakasia","Хакасія","Hakasija","Хакасия","Khakàssia","Хакаси","哈卡斯共和国",NA,"Hakasija","Chakasie","Republikken Khakasija","Chakassië","Хакасий","Хакасия Республикась","Ĥakasio","Hakassia","Hakassia","Khakassie","Hakasiya","Khakassia","ხაკასეთი","Chakassien",NA,"Δημοκρατία της Χακασίας","Khakassia Khiung-fò-koet","חקסיה","ख़कासिया","Hakaszföld",NA,"Khakassia","An Chacáis","Chakassia","ハカス共和国",NA,"Хагасин таңһч",NA,"Хакасия","Хакасия","하카스 공화국","Chakassia","Hakasija","Chakasija",NA,NA,"Хакасија","Khakassia","खाकाशिया","Хакас","Hakassia","Khakasia","Khakasia","Хакаси",NA,"خاکاسیا","Chakasja","Cacássia","Hakasia","Хакасия","Хакасия","Khakassie","Хакасија","Hakasija","Chakasko","Hakasija","Jakasia","Khakassia","Chakassien","Khakassia","அக்காசியா","Хакасия",NA,"Hakasya","Хакасия","Хакасія","خاکاسیا","خاكاسىيە","Xakasiya","Hakasijan Tazovaldkund","Khakassia","Khakassia",NA,"خاکاسیا","Хакасія","Хакаси",NA,"Khakassia"
"Republik Komi","Republiek van Komi",NA,"جمهورية كومي",NA,"Կոմի Հանրապետություն",NA,"Komi Respublikası",NA,"Komi","Рэспубліка Комі","Komi","Коми","República de Komi","Республика Коми","科米共和国","Коми Республики","Komi","Komijská republika","Republikken Komi","Komi (deelrepubliek)","Коми Республик","Коми Республикась","Komiio","Komi","Komin tasavalta","République des Komis","Komi","República de Komi","კომის რესპუბლიკა","Republik Komi",NA,"Δημοκρατία των Κόμι","Komi Khiung-fò-koet","רפובליקת קומי",NA,"Komiföld",NA,"Republik Komi","Poblacht Choimí","Repubblica dei Komi","コミ共和国","Коми республикэ","Комигуд таңһч",NA,"Коми Республикасы","Коми Республика","코미 공화국",NA,"Komi","Komijos Respublika",NA,NA,"Коми","Republik Komi","कोमी प्रजासत्ताक","Коми","Komi dásseváldi","Komi","Republikken Komi","Республикæ Коми",NA,"جمهوری کومی","Republika Komi","República de Komi","Republica Komi","Республика Коми","Коми","Komi Republic","Коми (република)","Republika Komi","Komijsko","Komi","Komi","Républik Komi","Komi (delrepublik)","Republika ng Komi",NA,"Коми Республикасы",NA,"Komi Cumhuriyeti","Коми республика","Республіка Комі","کومی جمہوریہ","كومى","Komi","Komin Tazovaldkund","Cộng hòa Komi","Republika han Komi",NA,"کومی","Рэспубліка Комі","Коми",NA,"Komi_Republic"
"Republik Mari El","Mari El",NA,"ماري إل",NA,"Մարիյ Էլ",NA,"Mari El",NA,"Mari El","Марый Эл","Marij El","Марий Ел","Marí El","Республика Марий Эл","马里埃尔共和国","Мари Эл","Marijska","Marij El","Republikken Marij El","Mari El","Марий Эл","Маринь Республикась","Mariio","Marimaa","Marin tasavalta","République des Maris","Mari El","Mari El","მარი ელი","Mari El",NA,"Δημοκρατία της Μαρί Ελ","Mari El Khiung-fò-koet","מארי אל","मरी ऍल","Mariföld",NA,"Mari El","Mairí El","Repubblica dei Mari","マリ・エル共和国",NA,"Чермс таңһч",NA,"Марий Эл","Мари Эл","마리옐 공화국",NA,"Marijela","Marių Respublika","Mari El",NA,"Мариј Ел","Mari El","मारी एल","Мари Эл","Mari dásseváldi","Mari El","Mari El","Марий Эл",NA,"ماری ال","Mari El","Mari El","Mari El","Марий Эл","Марий Эл","Mari El","Мариј Ел","Mari El","Marijsko","Marij El","Mari-El","Mari Él","Marij El","Mari El","மாரீ எல்","Мари Ил",NA,"Mari El","Марий Эл Республика","Марій Ел","ماری ال","مارى","Mariy el","Marii Elan Tazovaldkund","Cộng hòa Mari El","Mari El","Mari El","ماری ال","Марый Эл","Марий Ээл",NA,"Mari_El"
"Republik Mordovia","Mordowië",NA,"موردوفيا",NA,"Մորդովիա",NA,"Mordoviya","Мордва Республикаһы","Mordovia","Мардовія","Mordovija","Мордовия","Mordòvia","Мордови","莫尔多瓦共和国","Мордва Республики","Mordvinska","Mordvinsko","Republikken Mordovija","Mordovië","Мордовий","Мордовия Республикась","Mordvio","Mordva","Mordva","Mordovie","Mordoviya","Mordovia","მორდვეთი","Mordwinien",NA,"Δημοκρατία της Μορδοβίας","Mordovia Khiung-fò-koet","מורדוביה",NA,"Mordvinföld",NA,"Mordovia","An Mhordóiv","Mordovia","モルドヴィア共和国",NA,"Мордин таңһч",NA,"Мордовия","Мордовия","모르도바 공화국","Mordovia","Mordvija","Mordvija",NA,NA,"Мордовија","Mordovia","मोर्दोव्हिया","Мордова","Mordva","Mordovia","Mordovia","Мордови",NA,"موردوویا","Mordowia","Mordóvia","Mordovia","Мордовия","Мордовия","Mordovie","Мордовија","Mordovija","Mordviansko","Mordovija","Mordovia","Mordovia","Mordvinien","Mordovia",NA,"Мордовия",NA,"Mordovya","Мордовия","Мордовія","موردوویا","موردوۋىيە","Mordoviya","Mordovijan Tazovaldkund","Mordovia","Mordovia",NA,"موردوویا","Мардовія","Бүгэдэ Найрамдаха Мордова Улас",NA,"Mordovia"
"Republik Ossetia Utara - Alania","Noord-Ossetië-Alanië",NA,"أوسيتيا الشمالية-ألانيا",NA,"Հյուսիսային Օսիա",NA,"Şimali Osetiya",NA,"Ipar Osetia-Alania","Паўночная Асеція","Sjeverna Osetija-Alanija","Северна Осетия","Ossètia del Nord - Alània","Къилбаседера ХӀирийчоь","北奥塞梯-阿兰共和国","Çурçĕр Осети","Sjeverna Osetija-Alanija","Severní Osetie-Alanie","Republikken Nordossetien–Alania","Noord-Ossetië","Йӱдвел Осетий","Пелевёнксонь Осетия Республикась","Nord-Osetio","Põhja-Osseetia","Pohjois-Ossetia-Alania","Ossétie-du-Nord-Alanie","Poyraz Osetiya-Alaniya","Osetia do Norte-Alania","ჩრდილოეთი ოსეთი","Nordossetien-Alanien","𐌰𐌻𐌰𐌽𐌾𐌰","Δημοκρατία της Βόρειας Οσετίας - Αλανίας","Pet Ossetia–Alania Khiung-fò-koet","צפון אוסטיה - אלניה","उत्तर ओसेतिया-आलानिया","Észak-Oszétia","Norður-Ossetía","Ossetia Utara–Alania","An Oiséit Thuaidh-An Aláin","Ossezia Settentrionale-Alania","北オセチア共和国","Ишхъэрэ Iэсетиэ","Оседин таңһч","Шимал Тегей",NA,"Войвыв Осетия","세베로오세티야 공화국","Ossetia Septentrionalis","Ziemeļosetija-Alānija","Šiaurės Osetija",NA,NA,"Северна Осетија-Аланија","Ossetia Utara-Alania","उत्तर ओसेशिया-अलानिया","Хойд Осет-Алани","Davvi-Ossetia-Alania","Nord-Ossetia","Nord-Ossetia","Цæгат Ирыстон",NA,"اوستیای شمالی-آلانیا","Osetia Północna","Ossétia do Norte-Alânia","Osetia de Nord","Северная Осетия","Хотугу Осетия","North Ossetie-Alanie","Северна Осетија — Аланија","Sjeverna Osetija-Alanija","Severné Osetsko","Severna Osetija-Alanija","Osetia del Norte-Alania","Ossétia Kalér-Alania","Nordossetien","Hilagang Osetya-Alania","வடக்கு ஒசேத்திய-அலனீயா","Төньяк Осетия",NA,"Kuzey Osetya-Alanya","Уйпал Осетия","Північна Осетія","شمالی اوسیشیا-الانیا","شىمالىي ئوسېتىيە","Shimoliy Osetiya Alaniya","Pohjoižosetijan — Alanijan Tazovaldkund","Bắc Osetiya-Alaniya","North Ossetia-Alania","Gogledd Ossetia","اتلا اوسیشیاء","Паўночная Асэтыя",NA,NA,"North_Ossetia%E2%80%93Alania"
"Republik Sakha","Jakoetië","Sahaja","ياقوتيا",NA,"Սախա-Յակուտիայի Հանրապետություն",NA,"Saxa","Саха (Яҡутстан) Республикаһы","Jakutia","Якуція","Republika Saha","Якутия","Sakhà","Якути","萨哈共和国","Якути","Jakutska","Sacha","Republikken Sakha (Jakutien)","Jakoetië","Якутий","Якутия Республикась","Jakutio","Sahha","Sahan tasavalta","République de Sakha","Saha Respublikası","República de Sakha","სახა (იაკუტია)","Sacha",NA,"Δημοκρατία των Σαχά","Sakha Khiung-fò-koet","רפובליקת סאחה-יקוטיה","साख़ा गणतंत्र","Jakutföld","Saka","Sakha","Poblacht Shácha","Sacha-Jacuzia","サハ共和国",NA,"Якудин таңһч",NA,"Саха Республикасы","Саха (Якутия) республика","사하 공화국","Iacutia","Saha","Jakutija",NA,NA,"Јакутија","Republik Sakha","साखा प्रजासत्ताक","Саха",NA,"Sakha","Sakha","Якути",NA,"جمهوری یاقوتستان","Jakucja","Iacútia","Iacutia","Якутия","Саха Сирэ","Sakha Republic","Јакутија","Jakutska","Jakutsko","Jakutija","República de Sajá","Sakha","Sacha","Republika ng Sakha",NA,"Якутия","สาธารณรัฐซาฮา","Yakutistan","Якутия","Республіка Саха","سخا جمہوریہ","ياكۇتىيە","Saxa","Saha Tazovaldkund","Cộng hòa Sakha","Republika han Sakha",NA,"یاکوتیا","Якутыя","Саха",NA,"Sakha_Republic"
"Republik Tatarstan","Tartarstan","Tataristani","تتارستان",NA,"Թաթարստան","Татаристан","Tatarıstan","Татарстан Республикаһы","Tatarstan","Татарстан","Tatarstan","Татарстан","Tatarstan","ГӀезалойчоь","鞑靼斯坦共和国","Тутарстан","Tatarstan","Tatarstán","Republikken Tatarstan","Tatarije","Суас Эл","Татаронь Республикась","Tatarstano","Tatarstan","Tatarstan","Tatarstan","Tatarstan","Tartaristán","თათრეთი","Tatarstan",NA,"Δημοκρατία του Ταταρστάν","Tat-tat-sṳ̂-thán Khiung-fò-koet","טטרסטן","तातारस्तान","Tatárföld","Tatarstan","Tatarstan","An Tatarstáin","Tatarstan","タタールスタン共和国",NA,"Маңһудин таңһч",NA,"Татарстан","Тотараму","타타르 공화국","Tatarstania","Tatarstāna","Tatarstanas",NA,NA,"Татарстан","Tatarstan","तातारस्तान","Татарстан","Tatarstan","Tatarstan","Tatarstan","Тæтæрстан",NA,"تاتارستان","Tatarstan","Tartaristão","Tatarstan","Татарстан","Татарстаан","Tatarstan","Татарстан","Tatarstan","Tatársko (republika)","Tatarstan","Tartaristán","Tatarstan","Tatarstan","Tatarstan",NA,"Татарстан","สาธารณรัฐตาตาร์สถาน","Tataristan","Татарстан","Татарстан","تاتارستان","تاتارىستان","Tatariston","Tatarstanan Tazovaldkund","Tatarstan","Tatarstan",NA,"تاتارستان","Татарстан","Татарстан",NA,"Tatarstan"
"Republik Tuva","Tiwa","Tëvaja","توفا",NA,"Տիվա",NA,"Tıva","Тыва Республикаһы","Tuva","Тува","Tuva","Тува","Tuvà","Республика Тыва","图瓦共和国",NA,"Tuva","Tuva","Republikken Tyva","Toeva","Тува","Тува Республикась","Tuvio","Tõva","Tuva","Touva","Tuva","Tuva","ტუვა","Tuwa",NA,"Δημοκρατία της Τιβά","Tuva Khiung-fò-koet","טובה (רפובליקה)","तूवा","Tuva",NA,"Tuva","Túva","Tuva","トゥヴァ共和国",NA,"Сойд таңһч",NA,"Тыва","Тыва","투바 공화국","Tuva","Tiva","Tuva",NA,NA,"Тува","Tuva","तुवा","Бүгд Найрамдах Тува Улс","Tuva","Tuva (republikk)","Tyva","Тыва",NA,"تووا","Tuwa","Tuva","Tuva","Тыва","Тыва","Tuva","Тува","Tuva","Tuviansko","Tuva","Tuvá","Tuva","Tuva","Tuva",NA,"Тыва",NA,"Tuva Cumhuriyeti","Тува","Тива","تووا","تۇۋا","Tiva","Tivan Tazovaldkund","Tuva","Tuva",NA,"تووا","Тува","Тыва",NA,"Tuva"
"Republik Udmurt","Oedmoertië",NA,"أودمورتيا",NA,"Ուդմուրթական Հանրապետություն",NA,"Udmurtiya","Удмурт Республикаһы","Udmurtia","Удмуртыя","Udmurtija","Удмуртия","Udmúrtia","Удмуртийн Республика","乌德穆尔特共和国","Удмурт Республики","Udmurtska","Udmurtsko","Republikken Udmurtien","Oedmoertië","Одо Эл","Удмуртонь Республикась","Udmurtio","Udmurtia","Udmurtia","Oudmourtie","Udmurtiya","Udmurtia","უდმურტეთი","Udmurtien",NA,"Δημοκρατία των Ουντμούρτ","Udmurtia Khiung-fò-koet","אודמורטיה","उदमूर्तिया","Udmurtföld","Údmúrtía","Udmurtia","An Udmairt","Udmurtia","ウドムルト共和国",NA,"Удмурдин таңһч",NA,NA,"Удмуртия","우드무르트 공화국","Udmurtia","Udmurtija","Udmurtija",NA,NA,"Удмуртија","Udmurtia","उद्मुर्तिया","Удмурт","Udmurtia","Udmurtia","Udmurtia","Удмурти",NA,"اودمورتیا","Udmurcja","Udmúrtia","Udmurtia","Удмуртия","Удмуртия","Udmurtie","Удмуртија","Udmurtska","Udmurtsko","Udmurtija","Udmurtia","Udmurtia","Udmurtien","Udmurtia",NA,"Удмуртия",NA,"Udmurtya","Удмуртия","Удмуртія","ادمورتیا","ئۇدمۇرتىيە","Udmurtiya","Udmurtijan Tazovaldkund","Udmurtia","Udmurtia",NA,"ادمرتیا","Удмуртыя","Удмурти",NA,"Udmurtia"
"Krai Altai","Altai-krai",NA,"ألطاي كراي",NA,"Ալթայի երկրամաս",NA,"Altay diyarı",NA,"Altai kraia","Алтайскі край","Altajski kraj","Алтайски край","Territori de lAltai","Алтай мехкайист","阿尔泰边疆区","Алтай Ен","Altajski kraj","Altajský kraj","Altaj kraj","Kraj Altaj","Алтай мланде","Алтаень край","Altaja regiono","Altai krai","Altain aluepiiri","Kraï de lAltaï",NA,NA,"ალთაის მხარე","Region Altai",NA,"Κράι Αλτάι",NA,"מחוז אלטאי","अल्ताई क्राय","Altaji határterület",NA,"Krai Altai","Críoch Altae","Territorio dellAltaj","アルタイ地方",NA,"Алтагин зах улс",NA,NA,"Алтай край","알타이 지방",NA,"Altaja novads","Altajaus kraštas",NA,"Regioun Altai","Алтајски крај","Jajahan Altai","आल्ताय क्राय","Алтайн хязгаар",NA,"Altaj kraj","Altaj kraj","Алтайы край",NA,"سرزمین آلتایی","Kraj Ałtajski","Krai de Altai","Ținutul Altai","Алтайский край","Алтай кыраайа","Altai Krai","Алтајска Покрајина","Altajski kraj","Altajský kraj",NA,"Krai de Altái",NA,"Altaj kraj","Altai Krai","அல்த்தாய் பிரதேசம்","Алтай крае",NA,"Altay Krayı","Алтай шаер","Алтайський край","التائی کرائی",NA,"Oltoy oʻlkasi","Altajan rand","Altai (vùng)","Altai Krai","Crai Altai","التائی کرائی","Алтайскі край","Алтай хизаар",NA,"Altai_Krai"
"Krai Kamchatka","Kamtsjatka-krai",NA,"كامتشاتكا كراي",NA,NA,NA,"Kamçatka diyarı",NA,"Kamtxatka kraia","Камчацкі край","Kamčatski kraj","Камчатски край","Territori de Kamtxatka","Камчаткан мехкайист","堪察加邊疆區",NA,"Kamčatski kraj","Kamčatský kraj","Kamtjatka kraj","Kraj Kamtsjatka","Камчатке мланде","Камчатонь край",NA,"Kamtšatka krai","Kamtšatkan aluepiiri","Kraï du Kamtchatka",NA,NA,"კამჩატკის მხარე","Region Kamtschatka",NA,"Κράι Καμτσάτκα",NA,"מחוז קמצטקה","कमचातका क्राय","Kamcsatkai határterület",NA,"Krai Kamchatka","Críoch Kamchatka","Territorio della Kamčatka","カムチャツカ地方",NA,"Камчатин зах улс",NA,NA,"Камчатка край","캄차카 지방",NA,"Kamčatkas novads","Kamčiatkos kraštas",NA,NA,"Камчатски крај","Jajahan Kamchatka","कामचत्का क्राय",NA,NA,"Kamtsjatka kraj","Kamtsjatka kraj","Камчаткæйы край",NA,"سرزمین کامچاتکا","Kraj Kamczacki","Krai de Kamtchatka","Ținutul Kamceatka","Камчатский край","Камчатка кыраайа","Kamchatka Krai","Камчатска Покрајина","Kamčatski kraj","Kamčatský kraj",NA,"Krai de Kamchatka",NA,"Kamtjatka kraj","Kamchatka Krai","கம்சாத்கா பிரதேசம்","Камчатка крае",NA,"Kamçatka Krayı",NA,"Камчатський край","کامچاٹکا کرائی",NA,"Kamchatka oʻlkasi","Kamčatkan rand","Kamchatka (vùng)","Kamchatka Krai","Crai Kamchatka","کمچٹکا","Камчацкі край",NA,NA,"Kamchatka_Krai"
"Krai Khabarovsk","Chabarofsk-krai",NA,"خاباروفسك كراي",NA,"Խաբարովսկի երկրամաս",NA,"Xabarovsk diyarı",NA,"Khabarovsk kraia","Хабараўскі край","Habarovski kraj","Хабаровски край","Territori de Khabàrovsk","Хабаровскан мехкайист","哈巴罗夫斯克边疆区",NA,"Habarovski kraj","Chabarovský kraj","Khabarovsk kraj","Kraj Chabarovsk","Хабаровск мланде","Хабаровонь край","Ĥabarovska regiono","Habarovski krai","Habarovskin aluepiiri","Kraï de Khabarovsk",NA,"Krai de Khabarovsk","ხაბაროვსკის მხარე","Region Chabarowsk",NA,"Κράι Χαμπάροφσκ",NA,"מחוז חברובסק","ख़ाबारोव्स्क क्राय","Habarovszki határterület",NA,"Krai Khabarovsk","Críoch Khabarovsk","Territorio di Chabarovsk","ハバロフスク地方",NA,"Хабаровин зах улс",NA,NA,"Хабаровск край","하바롭스크 지방",NA,"Habarovskas novads","Chabarovsko kraštas",NA,NA,"Хабаровски крај","Jajahan Khabarovsk","खबारोव्स्क क्राय","Хабаровскийн хязгаар",NA,"Khabarovsk kraj","Khabarovsk kraj","Хабаровы край",NA,"سرزمین خاباروفسک","Kraj Chabarowski","Krai de Khabarovsk","Ținutul Habarovsk","Хабаровский край","Хабаровскай кыраай","Khabarovsk Krai","Хабаровска Покрајина","Habarovski kraj","Chabarovský kraj",NA,"Krai de Jabárovsk",NA,"Chabarovsk kraj","Khabarovsk Krai","கபரோவ்சுக் பிரதேசம்","Хабаровск крае",NA,"Habarovsk Krayı",NA,"Хабаровський край","خابارووسک کرائی",NA,"Xabarovsk oʻlkasi","Habarovskan rand","Khabarovsk (vùng)","Khabarovsk Krai","Crai Khabarovsk","خبارووسک","Хабараўскі край",NA,NA,"Khabarovsk_Krai"
"Krai Krasnodar","Krasnodar-krai",NA,"كراسنودار كراي",NA,"Կրասնոդարի երկրամաս",NA,"Krasnodar diyarı","Краснодар крайы","Krasnodar kraia","Краснадарскі край","Krasnodarski kraj","Краснодарски край","Territori de Krasnodar","Краснодаран мехкайист","克拉斯诺达尔边疆区","Краснодар Ен","Krasnodarski kraj","Krasnodarský kraj","Krasnodar kraj","Kraj Krasnodar","Краснодар мланде","Краснодаронь край","Krasnodara regiono","Krasnodari krai","Krasnodarin aluepiiri","Kraï de Krasnodar",NA,"Krai de Krasnodar","კრასნოდარის მხარე","Region Krasnodar",NA,"Κράι Κρασνοντάρ",NA,"מחוז קרסנודאר","क्रास्नोदार क्राय","Krasznodari határterület","Krasnodarfylki","Krai Krasnodar","Críoch Krasnodar","Territorio di Krasnodar","クラスノダール地方","Краснодар щIыгу","Краснодарин зах улс",NA,NA,"Краснодар край","크라스노다르 지방",NA,"Krasnodaras novads","Krasnodaro kraštas",NA,NA,"Краснодарски крај","Jajahan Krasnodar","क्रास्नोदर क्राय","Краснодарын хязгаар",NA,"Krasnodar kraj","Krasnodar kraj","Краснодары край",NA,"سرزمین کراسنودار","Kraj Krasnodarski","Krai de Krasnodar","Ținutul Krasnodar","Краснодарский край","Краснодаар кыраайа","Krasnodar Krai","Краснодарска Покрајина","Krasnodarski kraj","Krasnodarský kraj",NA,"Krai de Krasnodar","Krai Krasnodar","Krasnodar kraj","Krasnodar Krai","கிராஸ்னதார் பிரதேசம்","Краснодар крае",NA,"Krasnodar Krayı","Краснодар шаер","Краснодарський край","کریسنوڈار کرائی",NA,"Krasnodar oʻlkasi","Krasnodaran rand","Krasnodar (vùng)","Krasnodar Krai","Crai Krasnodar","کراسنودار","Краснадарскі край",NA,NA,"Krasnodar_Krai"
